ices_code	ices_description	code_type
nr25cell	number of 25 cell group	MUNIT
nr25cell/m3	number of 25 cell group / cubic metre	MUNIT
nradd/10-8 DNA	number of adducts per 10-8 DNA	MUNIT
nrcells	number of cells	MUNIT
nrcells/l	number of cells / litre	MUNIT
nrcells/m3	number of cells / cubic metre	MUNIT
nrcol	number of colonies	MUNIT
nrcol/m3	number of colonies / cubic metre	MUNIT
nrfil100	number of filaments 100 um	MUNIT
nrfil100/m3	number of filaments 100 um / cubic metre	MUNIT
nrflag/m3	number of flagellates / cubic metre	MUNIT
NTU	Nephelometric Turbidity Units - Reference: EPA 180.1	MUNIT
ODU	AU cm-1	MUNIT
pg	picogram	MUNIT
pg/g	picogram/gram	MUNIT
pg/kg	picogram/kilogram	MUNIT
pg/l	picogram/litre	MUNIT
phi	phi	MUNIT
pmol/min/mg protein	picomole/minute/milligram protein	MUNIT
ppm	parts per million	MUNIT
ppt	parts per thousand	MUNIT
PSU	practical salinity units	MUNIT
ratio	ratio	MUNIT
sc	scale	MUNIT
sc-phf	scale - pH freescale	MUNIT
sc-phnbs	scale - pH NBS scale	MUNIT
sc-phsws	scale - pH seawater scale	MUNIT
sc-pht	scale - pH total	MUNIT
st	stage	MUNIT
t	tonne	MUNIT
uatm	microatmospheres	MUNIT
ug	microgram	MUNIT
ug Sn/kg	microgram tin / kilogram	MUNIT
ug/dm3	microgram / cubic decimetre	MUNIT
ug/g	microgram/gram	MUNIT
ug/kg	microgram/kilogram	MUNIT
ug/l	microgram/litre	MUNIT
ug/m3	microgram / cubic metre	MUNIT
ug/mg cytosol protein	microgram  / milligram cytosol protein	MUNIT
ug/mg protein	microgram/milligram protein	MUNIT
ug/min/mg protein	micogram/min/milligram protein	MUNIT
ug/ml	microgram/ml	MUNIT
uM	micromolar (concentration - number of moles in 1 litre)	MUNIT
um3	cubic micrometre	MUNIT
um3/l	cubic micrometre / litre	MUNIT
umol	micromole	MUNIT
umol/kg	micromole / kilogram	MUNIT
umol/l	micromole/litre	MUNIT
umol/min/mg protein	micromol/minute/mg protein	MUNIT
units/l	units / litre	MUNIT
w	week	MUNIT
y	year	MUNIT
yes	yes to be used when reporting PRSNT "species present"	MUNIT
AGRF	Ahma Group (Rovaniemi)	RLABO
AHHG	Umweltbehörde  Hygienisches Institut  Hamburg	RLABO
AHZL	Arbeithygienisches Zentrum der Chemischen Industri	RLABO
ALGL	ALS Scandinavia - Luleå	RLABO
ALGT	ALS Scandinavia - Täby	RLABO
ALLS	SYNLAB Analytics & Services Sweden AB  Linköping  Sweden	RLABO
ALNG	Dr. Schumacher GmbH	RLABO
ALUK	Fisheries Research Services  Aberdeen	RLABO
AMAP	AMAP Secretariat	RLABO
AMHF	Alands Landskapregering (Mariehamn)	RLABO
ANBF	ANSAB  Bordeaux	RLABO
ANCH	Vrije Universiteit Brussel	RLABO
APEM	APEM Ltd  Manchester Laboratory	RLABO
APNN	Akvaplan-NIVA A/S  Polar Environmental Center  Tromsø	RLABO
AQEG	AquaEcology  Oldenburg	RLABO
AQFG	Aquafact Environmental Survey Specialists  Galway	RLABO
ASLR	Latvian Institute of Aquatic Ecology	RLABO
ASUK	Aquatic Systems Group  Belfast	RLABO
AWIG	Alfred-Wegener Institut	RLABO
AWUK	Environment Agency  Peterborough	RLABO
AZUK	AstraZeneca  Brixham Laboratory	RLABO
BAHG	Biologische Anstalt Helgoland	RLABO
BEUK	Biological Effects Laboratory  Waterloo	RLABO
BFAG	Institut für Seefischerei der VTIG Hamburg	RLABO
BFCG	Bundesforschungsanstalt für Fischerei  Cuxhaven	RLABO
BFGG	Bundesanstalt für Gewässerkunde  Federal Institute of Hydrology	RLABO
BFKB	Küsten- und Binnenfischerei	RLABO
BFKG	Bundesforschungsanstalt für Fischerei  Hamburg	RLABO
BFRG	Bundesforschungsanstalt für Fischerei  Institut für Fischereiökologie  Hamburg	RLABO
BGAG	Umweltbundesamt  Institut für Wasser-  Boden- und Lufthygiene	RLABO
BGMG	University of Hamburg  Institute of Biogeochemistry and Marine Chemistry  Centre for Marine and Climate Research	RLABO
BHIR	Bezirkshygiene-Institut Rostock	RLABO
BIOC	Bedford Institute of Oceanography  Department of Fisheries and Oceans  Nova Scotia	RLABO
BIOR	Institute of Food Safety  Animal Health and Environment	RLABO
BIOS	Aarhus University  Department of Bioscience  Marine Ecology Roskilde	RLABO
BLUK	Centre for Environment  Fisheries and Aquaculture Science	RLABO
BODC	British Oceanographic Data Centre	RLABO
BSHG	Bundesamt für Seeschiffahrt und Hydrographie	RLABO
BTNW	Battelle  Northwest Division  Marine Sciences Laboratory  Washington	RLABO
CALU	CALLUNA AB	RLABO
CHAR	Unidentified laboratory from US in 1970s	RLABO
CIRA	CIRAD - Montpellier	RLABO
CLSI	Complete lab solutions / Saotharlann Chonamara Teo	RLABO
CMAC	CMACS Ltd	RLABO
CQ14	CQEL Caen	RLABO
CQ29	CQEL Finistère	RLABO
CQ33	CQEL Gironde	RLABO
CQ40	CQEL Landes	RLABO
CQ44	CQEL Loire-Atlantique	RLABO
CQ50	CQEL de la Manche	RLABO
CQ56	CQEL Lorient	RLABO
CQ59	CQEL Nord	RLABO
CQ62	CQEL Boulogne	RLABO
CQ64	CQEL Pyrénées Atlantiques	RLABO
CQ76	CQEL Seine-Maritime	RLABO
CREA	CREMA/CRELA l'Houmeau	RLABO
CRUK	Clyde River Purification Board	RLABO
CTQC	Centre de toxicologie de Québec	RLABO
CWSC	National Wildlife Research Centre	RLABO
DANI	Department of Agriculture and Rural Affairs  Belfast	RLABO
DBST	Academy of Sciences  Department of the Baltic Sea  Tallinn	RLABO
DFHU	Danmarks Fiskeriundersøgelser	RLABO
DFLH	Det Fælleskommunale Laboratorium Herning	RLABO
DGAP	Direccao Geral do Ambiente	RLABO
DGWM	Rijkswaterstaat Dienst Getijdewateren  Middelburg	RLABO
DGWN	Rijkswaterstaat Dienst Getijdewateren  Public Works Department  Tidal Waters Division	RLABO
DHIG	Deutsches Hydrographisches Institut	RLABO
DIHO	Netherlands Institute of Ecology	RLABO
DMUK	Dunstaffnage Marine Research Laboratory	RLABO
DOUK	Centre for Environment  Fisheries and Aquaculture Science	RLABO
EAES	University of East Anglia  School of Environmental Sciences	RLABO
EAWC	CMA EAWal  EAwales regional office  Cardiff	RLABO
ECCB	Laboratorium ECCA	RLABO
ECOM	Ecomaris Ltd  Huntingdon Laboratory	RLABO
ECOS	Ecological Consultancy Services Ltd  Dublin Laboratory	RLABO
EERC	Estonian Environmental Research Centre	RLABO
EFDA	Eurofins Danmark A/S Aalborg SV	RLABO
EFDH	Eurofins Danmark A/S Albertslund	RLABO
EFGH	Eurofins GfA Hamburg	RLABO
EFGJ	Eurofins Umwelt Ost Jena	RLABO
EFGM	Eurofins GfA Lab Service GmbH  Münster	RLABO
EGMH	EGMASA Laboratorio de Vigilancia y Control de la Contaminación de Huelva	RLABO
EGMM	EGMASA Laboratorio de Vigilancia y Control de la Contaminación de Motril	RLABO
EMUL	Emu Ltd  Southampton Laboratory	RLABO
EPAD	Environmental Protection Agency (Regional Inspectorate Dublin)	RLABO
ERGO	ERGO Forschungsgesellschaft mbH  Hamburg	RLABO
ERTL	ERT (Scotland) Ltd  Edinburgh Laboratory	RLABO
ESEA	Estonian Environment Agency  Tallinn	RLABO
EVIF	Finnish Food Safety Authority Evira	RLABO
EWMP	Regional Inspectorate of Environmental Protection in Olsztyn - Branch Office in Elblag	RLABO
FCGF	FCG Finnish Consulting Group Oy	RLABO
FEIF	Finnish Environment Institute	RLABO
FERA	The Food and Environment Research Agency	RLABO
FFLF	Faroese Fisheries Laboratory	RLABO
FGEG	Flussgebietsgemeinschaft Elbe -River Basin Community Elbe	RLABO
FGFR	Finnish Game and Fisheries Research Institute	RLABO
FIER	Institute of Nutrition  Directorate of Fisheries (Fiskeridirektoratets Ernæringsinstitutt)	RLABO
FIME	Fraunhofer Institute for Molecular Biology and Applied Ecology  Schmallenberg-Grafschaft	RLABO
FITG	Fresenius Institut	RLABO
FIUC	Freshwater Institute  Department of Fisheries and Oceans  Winnipeg	RLABO
FLAN	Flandres Analyses	RLABO
FOCH	Fisheries Laboratory	RLABO
FOLB	FITO-Lab	RLABO
FORC	FORCE Institute	RLABO
FRCI	Marine Institute (Abbottstown)  Dublin	RLABO
FREI	Forschungsinstitut für NE-Metalle  Bergakademie  Freiberg	RLABO
FRUK	Forth River Purification Board  Edinburgh	RLABO
FSAN	Institute of Marine Research	RLABO
FSSA	Food Standards Scotland (FSS)	RLABO
FUSL	Fugro Survey Ltd  Great Yarmouth Laboratory	RLABO
GALG	GALAB - Geesthacht  Analysen - Beratung - F&E	RLABO
GBAH	Gesellschaft fuer Bioanalytik Hamburg	RLABO
GDPP	Regional Inspectorate of Environmental Protection in Gdansk	RLABO
GEON	Geogruppen A/S	RLABO
GERI	National Environmental Research Institute (Arctic)	RLABO
GEUK	Gardline Environmental	RLABO
GFCC	Gulf Fisheries Centre  Department of Fisheries and Oceans  New Brunswick	RLABO
GLOU	National Marine Fisheries Service	RLABO
GRUC	GRECAN  University of Caen	RLABO
GSCO	Geological Survey of Canada	RLABO
GSDD	Geological Survey of Denmark	RLABO
GUMI	Göteborg University - Marine Geology	RLABO
GUZI	Göteborg University - Zoology	RLABO
HEUK	Hebog Environmental Ltd  Bangor Laboratory	RLABO
HFLD	Miljøstyrelsens Havforureningslaboratorium  Charlottenlund	RLABO
HFSF	Heilsufrøðiliga Starvsstovan	RLABO
HGOS	HydroGIS AB  Ödsmål	RLABO
HGUK	Humber Estuary Management Group	RLABO
HKYF	City of Helsinki Environment Centre	RLABO
HLUK	AEA Technology  Harwell Laboratory  Didcot  Oxfordshire	RLABO
HMKE	Holstebro Miljøkontrol Enhed	RLABO
HRFS	National Board of Fisheries	RLABO
HUTF	Helsinki University  Tvärminne Zoological Station	RLABO
IAMK	Göteborg University - Analytical and Marine Chemistry	RLABO
IARC	IFREMER station Arcachon	RLABO
IBOU	IFREMER station Boulogne	RLABO
IBSS	Institute of Biology of the Southern Seas	RLABO
IBUL	University of Latvia Institute of Biology	RLABO
IBWL	Instituut voor Bodemvruchtbaarheid	RLABO
ICBF	IFREMER Brest	RLABO
ICDK	Danish Isotope Center  Copenhagen	RLABO
ICES	ICES internal use only	RLABO
ICNF	IFREMER Nantes	RLABO
ICON	IFREMER station Concarneau	RLABO
IDIN	IFREMER station Dinard	RLABO
IECS	The University of Hull  Institute of Estuarine and Coastal Studies	RLABO
IEOC	Instituto Español de Oceanografia Madrid	RLABO
IEOM	Instituto Español de Oceanografia Murcia	RLABO
IEOT	Centro Oceanografico de Canarias  Tenerife	RLABO
IEOV	Instituto Español de Oceanografia Vigo	RLABO
IFAG	Institut für Angewandte Ökosystemforschung GmbH	RLABO
IFEN	Institute for Energy Technology	RLABO
IFLI	Icelandic Fisheries Laboratory	RLABO
IFOG	Institut für Ostseeforschung	RLABO
IGDR	Institut für Meereskunde	RLABO
IGSS	Stockholm University  Institute of Geology and Geochemistry	RLABO
IHEB	Institut d'Hygiène et d'Epidémiologie  Brussels	RLABO
IHFG	University of Hamburg  Institut für Hydrobiologie und Fischereiwissenschaft  Hydrobiol. Abt.	RLABO
IHLP	Instituto Hidrografico	RLABO
IIAP	Agriculture Academy  Institute of Ichthyology  Szczecin	RLABO
IMAR	Wageningen IMARES	RLABO
IMRE	Estonian Marine Institute	RLABO
IMRF	Finnish Institute of Marine Research	RLABO
IMRN	Institute of Marine Research	RLABO
IMRS	Swedish National Board of Fisheries	RLABO
IMWP	Institute of Meteorology and Water Management	RLABO
IMWT	TNO Institute of Environmental Sciences	RLABO
INAN	IFREMER station Nantes	RLABO
INIP	Instituto de Investigacao des Pescas e do Mar	RLABO
IOSP	Polish Academy of Sciences	RLABO
IPLF	Institut Pasteur de Lille	RLABO
IPOR	IFREMER station Port-en-Bessin	RLABO
IPRA	ISPRA  Italian National Institute for Environmental Protection and Research	RLABO
IROC	IFREMER station La Rochelle	RLABO
IRSN	Institut de Radioprotection et de Sureté Nucléaire	RLABO
ISHG	Institut Schumacher	RLABO
ISMF	Institut des Sciences Moléculaires  Group LPTC  Université Bordeaux1	RLABO
ISOB	Veterinary and Agrochemical Research Centre	RLABO
ISUK	Environment and Heritage Service  Lisburn	RLABO
ITRE	IFREMER station La Tremblade	RLABO
ITRI	IFREMER station La Trinité	RLABO
IUKG	Institut für Meereskunde an der Universität Kiel	RLABO
IUQG	Institut für Umweltschutz und Qualitätssicherung	RLABO
IVLS	IVL Swedish Environmental Research Institure - Stockholm	RLABO
IVMA	Vrije Universiteit Amsterdam IVM	RLABO
IVPT	Instituut voor Visserij Producten-TNO  Ijmuiden	RLABO
IWWG	IWW Consulting Service  Mulheim an der Ruhr	RLABO
JWGU	Johann Wolfgang Goethe University Frankfurt am Main	RLABO
JYUF	University of Jyväskylä	RLABO
KASF	Southeast Finland Regional Environment Centre	RLABO
KAWG	Handels- und Umweltschutzlabor Dr. Kaiser & Dr. Woldmann oHG	RLABO
KMFS	Kristineberg Marine Research Station	RLABO
KVSF	Kokemäenjoen vesistön vsy.  Hatanpää Tampere	RLABO
KVTF	Kala- ja vesitutkimus Ltd	RLABO
KVVF	Kokemäenjoen vesistön vesiensuojeluyhdistys ry  Finland	RLABO
KYMF	The Association for Water and Environment of Kymijoki region	RLABO
KYYF	Kymi Environmental Laboratory Ltd	RLABO
KZPP	Regional Inspectorate of Environmental Protection in Szczecin - Branch in Koszalin	RLABO
LABF	Laboratoire Municipal de Brest - Océan	RLABO
LADG	Laboratorien Dr. Doering GmbH	RLABO
LALG	Landesamt für Landwirtschaft  Lebensmittelsicherheit	RLABO
LAPF	Lapland Regional Environment Centre	RLABO
LASE	LASEM Cherbourg	RLABO
LCRS	Swedish Environmental Protection Agency	RLABO
LDAM	Laboratorie Départemental d'analyses de la Manche	RLABO
LDFD	Laboratorie Départemental Frank Duncombe	RLABO
LDHN	Institut Departemental d'Analyse et de Conseil	RLABO
LEBI	Laboratoire d'étude des Bio-Indicateurs Marin (Ile d'Yeu)	RLABO
LEMA	Laboratoire d'Ecotoxicologie - Milieux Aquatiques LEMA - EA 3222  Université du Havre	RLABO
LFMG	Landesforschungsanstalt für Landwirtschaft und Fischerei	RLABO
LGCT	LGC  Teddington	RLABO
LMBF	Institut Européen de l'Envronnement de Bordeaux	RLABO
LMHG	LimnoMar  Hamburg	RLABO
LMRF	Laboratoire Municipal de Rouen	RLABO
LOMI	Estonian Marine Institute (University of Tartu)	RLABO
LOSF	Southwest Finland Regional Environment Centre	RLABO
LPTC	Lab of physico- and toxico chemistry  University of Bordeaux  Talence Cedex	RLABO
LSCC	Loring SedChem Consultants	RLABO
LSKF	West Finland Regional Environment Centre  Kokkola branch	RLABO
LSUF	West Finland Regional Environment Centre	RLABO
LSYF	Lounais-Suomen vesi- ja ympäristötutkimus Oy	RLABO
LUAB	Landesuntersuchungsamt für Chemie  Hygiene und Veterinämedizin  Bremen	RLABO
LUKF	Natural Resources Institute Finland  Turku Laboratory	RLABO
LUNG	Landesamt für Umwelt  Naturschutz und Geologie in Mecklenburg-Vorpommern	RLABO
LUVF	Association for Water and Environment of Western Uusimaa	RLABO
LVLG	Landeshygieneinstitut	RLABO
LVMG	Landesveterinär- und Lebensmitteluntersuchungsamt	RLABO
LVUG	Lebensmittel- und Veterinäruntersuchungsamt des Landes Schleswig-Holstein	RLABO
LWKG	Landesamt für Wasserhaushalt und Küsten  Schleswig-Holstein  Kiel	RLABO
MAFL	Centre for Environment  Fisheries and Aquaculture Science	RLABO
MARI	MariLim Aquatic Research GmbH  Schönkirchen	RLABO
MATI	Icelandic Food and Biotech R&D	RLABO
MESL	Marine Ecological Surveys Ltd  Bath Laboratory	RLABO
METF	MetropoliLab  Helsinki	RLABO
MICG	Marine Institute (Chemistry) Galway	RLABO
MINY	MINYVEL ENVIRONNEMENT	RLABO
MIRG	Morski Instytut Rybacki in Gdynia (MIR)	RLABO
MMAB	Marine Monitoring AB Lysekil	RLABO
MNHS	Naturhistoriska Riksmuseet	RLABO
MRII	Marine Research Institute	RLABO
MRLT	Environmental Protection Agency  Department of Marine Research  Klaipeda	RLABO
MTLF	Finnish Forest Research Institute (METLA)	RLABO
MTTU	Marine Systems Institute at Tallinn University of Technology	RLABO
MUIF	University of Joensuu  R/V Muikku Laboratory	RLABO
MUMM	Management Unit of the North Sea and Scheldt Estuary	RLABO
NACE	Nordisk Analyse Center	RLABO
NAJF	Nab Labs  Jyväskylä laboratory	RLABO
NAOF	Nab Labs  Oulu laboratory	RLABO
NBWF	National Board of Waters  Helsinki	RLABO
NEDS	Environment Agency  Bath	RLABO
NENS	National office for environment and nature Stralsund	RLABO
NEPE	Natural England – Marine Office  Peterborough	RLABO
NERI	National Environmental Research Institute	RLABO
NGUN	Geological Survey of Norway	RLABO
NILU	Norwegian Institute for Air Research	RLABO
NIOZ	Nederlands Instituut voor Onderzoek der Zee	RLABO
NIVA	Norwegian Institute for Water Research	RLABO
NLEG	Niedersächsisches Landesamt für Ökologie  Norderney	RLABO
NLKG	Niedersächsischer Landesbetrieb für Wasserwirtschaft	RLABO
NLWG	Niedersächsisches Landesamt für Wasserwirtschaft  Hildesheim	RLABO
NMFS	NMFS Office of Science & Technology	RLABO
NOAM	National Marine Fisheries Service Milford	RLABO
NOAS	National Marine Fisheries Service Northeast Fisheries Science Center	RLABO
NOAW	National Marine Fisheries Service Northwest Fisheries Science Center Washington	RLABO
NOCS	National Oceanographic Centre Southampton	RLABO
NODC	National Oceanographic Data Center	RLABO
NORG	Institut für Umwelt und Analytik GmbH  Rostock	RLABO
NOWG	Limnologisches Institut Dr. Nowak	RLABO
NPIN	Norwegian Polar Institute	RLABO
NRCC	Chemical Metrology Group	RLABO
NRNS	Naturvatten Roslagen AB  Norrtalje	RLABO
NRUK	NRA Northumbrian Region	RLABO
NRWG	Landesumweltamt Nordrhein-Westfalen	RLABO
NSLS	Stockholm University	RLABO
NSTO	Nature Agency Nykøbing F	RLABO
NWLS	Swedish Environmental Protection Agency	RLABO
NWOC	National Water Research Institute	RLABO
NWUK	Environment Agency  North West Region  Warrington	RLABO
OMCG	University of Hamburg  Abteilung fur Organomeereschemie	RLABO
ORUM	Man-Technology-Environment Research Centre  Örebro University	RLABO
OSBC	Institute of Ocean Sciences	RLABO
OUES	Association Ouessant  Ouessant	RLABO
OUUF	University of Oulu	RLABO
OWMP	Regional Inspectorate of Environmental Protection in Olsztyn	RLABO
PAGS	PAG Miljöundersökningar	RLABO
PFHN	The Norwegian Crop Research Institute (Planteforsk Holt Forskingssenter)	RLABO
PGIP	Polish Geological Institute	RLABO
PLUK	Scottish Office Agriculture	RLABO
PMLK	Plymouth Marine Laboratory	RLABO
POYF	Pöyry Finland (Former Maa ja Vesi Ltd)	RLABO
PPOF	North Ostrobothnia Regional Environment Centre	RLABO
RAKD	Ringkøbing Amtskommune Danmark	RLABO
RALF	Ramboll Analytics (Lahti)	RLABO
RCMA	Regional Center "Monitoring of the Arctic" of Roshydromet	RLABO
RCMH	ROSHYDROMET  Moscow	RLABO
RIKZ	National Institute for Coastal and Marine Manageme	RLABO
RISO	Risø National Laboratory for Sustainable Energy	RLABO
RIVM	Rijksinstituut voor Volksgezondheid en Milieuhygie	RLABO
RIVO	Rijksinstituut voor Vissery Onderzoek  Ijmuiden	RLABO
RIZA	Rijksinstituut voor Zuivering van Afvalwater	RLABO
RKTP	Rijks-Kwaliteitsinstituut voor land- en tuinbouwprodukten	RLABO
RSSB	Rijksstation voor Sierplantenteelt  Melle	RLABO
RUGB	Rijks Universiteit Gent	RLABO
RVZB	ILVO Fisheries	RLABO
RWAU	RWTH Aachen University  Aachen	RLABO
RWSW	Rijkswaterstaat  Lelystad	RLABO
SAMW	Senckenberg am Meer  Wilhelmshaven	RLABO
SCSS	State Chemical Supervision Service  Søborg	RLABO
SEPB	Scottish Environment Protection Agency - Aberdeen Lab	RLABO
SEPD	Scottish Environment Protection Agency - Dingwall Lab	RLABO
SEPE	Scottish Environment Protection Agency - Edinburgh Lab	RLABO
SEPN	Scottish Environment Protection Agency - Angus Smith Lab	RLABO
SEPP	Scottish Environment Protection Agency - Perth Lab	RLABO
SEPW	Scottish Environment Protection Agency - West Region Lab	RLABO
SERI	Swedish Environmental Research Institute	RLABO
SERO	Sero A/S	RLABO
SFIP	Sea Fisheries Institute  Morski Instytit Rybacki	RLABO
SFPA	SFPA Clonakilty HQ	RLABO
SGUS	Geological Survey of Sweden	RLABO
SIIF	Sentral Instituttet for Industriell Forskning  Oslo	RLABO
SINL	Stable Isotopes in Nature Laboratory - University of New Brunswick	RLABO
SINT	SINTEF Applied Chemistry  Oslo	RLABO
SKIO	Skidaway Institute of Oceanography	RLABO
SLKS	AB Svensk Laboratoriet	RLABO
SLPP	Regional Inspectorate of Environmental Protection in Gdansk - Branch Office in Slupsk	RLABO
SLUQ	Swedish University of Agricultural Sciences  Department of Aquatic Resources	RLABO
SLUS	Swedish University of Agricultural Sciences	RLABO
SMEL	SMEL Blainville	RLABO
SMHI	Swedish Meteorological and Hydrological Institute	RLABO
SMRC	Stockholm University Marine Research Center	RLABO
SOIR	State Oceanographic Institute	RLABO
STCE	Star Cross Laboratory  Exeter	RLABO
STUK	Environment Agency Nottingham	RLABO
SUSE	Stockholm University Systems Ecology	RLABO
SWAM	Swedish Agency for Marine and Water Management	RLABO
SWUK	Environment Agency Southern	RLABO
SWWK	NRA South-West/Wessex Region	RLABO
SYJF	Finnish Environment Institute  SYKE (Joensuu)	RLABO
SYKE	Finnish Environment Institute (Helsinki)	RLABO
SYME	Sy.M.EL.	RLABO
SYNF	SYNLAB Analytics & Services Finland Oy	RLABO
SYOF	Finnish Environment Institute  SYKE (Oulu)	RLABO
SZPP	Regional Inspectorate of Environmental Protection in Szczecin	RLABO
THLF	The National Institute for Health and Welfare	RLABO
TLUG	Thueringer Landesanstalt fuer Umwelt und Geologie	RLABO
TMBL	Tjãrnö Marine Biological Laboratory	RLABO
TOXE	TOXEM SARL	RLABO
TUUF	University of Turku	RLABO
TWUK	NRA Thames Region	RLABO
UBGN	University of Bergen	RLABO
UBOF	Université de Bretagne Occidentale	RLABO
UCKS	University College of Kalmar	RLABO
UDCS	University of A Coruña	RLABO
UGAB	University of Ghent	RLABO
UHEF	Laboratory of Dept of Environmental Sciences  Helsinki University	RLABO
UIPT	University of Iceland	RLABO
ULBB	Université Libre de Bruxelles	RLABO
ULGB	Université de Liège	RLABO
UMKU	Umea University  Biochemical Laboratory	RLABO
UMSC	Umeå University	RLABO
UNIC	Unicomarine Ltd  Letchworth Laboratory	RLABO
UNIN	Unilab Analyse A/S	RLABO
UPBB	Umweltprobenbank im Umweltbundesamt  Berlin	RLABO
USFO	Umhvørvisstovan	RLABO
USOU	University of Southampton	RLABO
UUSF	Uusimaa Regional Environment Centre	RLABO
UVIG	University of Vigo	RLABO
VETN	Veterinærinstituttet	RLABO
VHRP	Veterinary Hygiene Research Station	RLABO
VHVF	Water Protection Association of the River Vantaa and Helsinki Region	RLABO
VKID	DHI Water and Environment	RLABO
VKYF	City of Vaasa Environmental Laboratory	RLABO
VUBB	Vrije Universiteit Brussel	RLABO
VUCG	Staatliches Veterinäruntersuchungsamt für Fische- und Fischwaren	RLABO
VUNG	Lebensmittel- und Veterinäruntersuchungsamt des Landes Schleswig-Holstein  Neumünster	RLABO
WASG	Staatliches Amt für Wasser und Abfall Stade	RLABO
WEAQ	WEAQ AB  Ängelholm	RLABO
WEJG	Dr. Wiertz  Eggert und Dr. Joerissen Laboratorium	RLABO
WGEG	Wassergütestelle Elbe	RLABO
WLUK	Environment Agency Llanelli Laboratory	RLABO
WRCK	WRc plc	RLABO
WSGA	WESSLING GmbH  Altenberge	RLABO
WUUF	The Association for Water and Environment of Western Uusimaa	RLABO
WWUK	Science and Technology Scientific Centre	RLABO
YWUK	NRA Yorkshire Region	RLABO
060Q	CHICAGO EXPRESS	SHIPC
0611	BERLIN	SHIPC
0612	NATIONAL	SHIPC
0613	SCHWABENLAND	SHIPC
0614	ANNE MARIE	SHIPC
061A	SEAPAC BUNKER HILL	SHIPC
061B	SEAPAC LEXINGTON	SHIPC
061C	SEAPAC PRINCETON	SHIPC
061D	SEAPAC CONCORD	SHIPC
061E	SEAPAC VALLEY FORGE	SHIPC
061F	CAP SAN MARCO	SHIPC
061G	ANNIEMARIE	SHIPC
061H	CAP SAN AUGUSTIN	SHIPC
061I	SUNNA HAV	SHIPC
061J	SCHLESWIG HOLSTEIN	SHIPC
061K	BAYERN	SHIPC
061L	HESSEN	SHIPC
061M	LUETJENS	SHIPC
061N	MOELDERS	SHIPC
061P	ROMMEL	SHIPC
061Q	KOELN	SHIPC
061R	EMDEN	SHIPC
061S	AUGSBURG	SHIPC
061T	KARLSRUHE	SHIPC
061U	LUEBECK	SHIPC
061V	BRAUNSCHWEIG	SHIPC
061W	BREMEN	SHIPC
061X	NIEDERSACHSEN	SHIPC
061Y	GEORGE FOCH	SHIPC
061Z	SCHLESWIG	SHIPC
0621	ROUTE: HAMBURG - HULL	SHIPC
0627	KYOTO EXPRESS	SHIPC
0628	VIENNA EXPRESS	SHIPC
062A	PADERBORN	SHIPC
062B	DUERN	SHIPC
062C	KONSTANZ	SHIPC
062D	WOLFSBURG	SHIPC
062E	ULM	SHIPC
062F	FULDA	SHIPC
062G	LINDAU	SHIPC
062H	TUEBINGEN	SHIPC
062I	MINDEN	SHIPC
062J	KOBLENZ	SHIPC
062K	WETZLAR	SHIPC
062L	WEILHEIM	SHIPC
062M	VOELKLINGEN	SHIPC
062N	CUXHAVEN	SHIPC
062P	MARBURG	SHIPC
062Q	NAJADE	SHIPC
062R	DONAU	SHIPC
062S	LAHN	SHIPC
062T	WERRA	SHIPC
062U	FEHMARN	SHIPC
062V	EISBAER	SHIPC
062W	SPIEKEROOG	SHIPC
062X	WALTHER VON LEDEBUR	SHIPC
062Y	RECTEUR DUBUISSON	SHIPC
062Z	THETIS	SHIPC
063A	HERMES	SHIPC
063B	PORT HARCOURT	SHIPC
063C	CARIBIA EXPRESS	SHIPC
063D	SIERRA EXPRESS	SHIPC
063E	COLUMBUS	SHIPC
063F	EUROPA	SHIPC
063G	FORELLE	SHIPC
063H	GEESTE	SHIPC
063J	HECHT	SHIPC
063K	ISLAND	SHIPC
063L	RESERVE-HOENAU	SHIPC
063M	SASSNITZ-TRELLEBORG	SHIPC
063N	SCHELLFISCH	SHIPC
063P	SDFALL	SHIPC
063Q	TEREDO VERSUCHSSTAND	SHIPC
063R	THUNFISCH	SHIPC
063S	RIO BLANCO	SHIPC
063W	MSC LA SPEZIA	SHIPC
063Z	BANGKOK EXPRESS	SHIPC
0641	P&O Nedlloyd Santiago	SHIPC
0647	HANJIN BASEL	SHIPC
064Q	MetOp-A	SHIPC
0655	ROTTERDAM EXPRESS	SHIPC
065I	HANJIN BOSTON	SHIPC
065L	BUDAPEST EXPRESS	SHIPC
065U	BREMEN EXPRESS	SHIPC
066E	OSTFRIESLAND	SHIPC
066T	MSC TORONTO	SHIPC
066X	DALIAN EXPRESS	SHIPC
066Y	LUDWIGSHAFEN EXPRESS	SHIPC
0677	RIO NEGRO	SHIPC
0679	PRAGUE EXPRESS	SHIPC
067A	MAERSK DAMASCUS	SHIPC
067B	MAERSK DENTON	SHIPC
067F	FIXED PLATFORMS	SHIPC
067O	WESTWOOD PACIFIC	SHIPC
0681	LT CORTESIA	SHIPC
0689	BERLIN EXPRESS	SHIPC
068N	HANOVER EXPRESS	SHIPC
068T	MSC TEXAS	SHIPC
0690	MULTIPLE SHIPS	SHIPC
0699	UNKNOWN PLATFORMS	SHIPC
06A2	ARIANA	SHIPC
06A3	ATAIR	SHIPC
06A4	ALLIANCE	SHIPC
06A5	Alkor	SHIPC
